% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.956104786e+00 +9.956104786e+00 +1.682610479e+01 +1.682610479e+01 +2.3088e+00 -2.9229e+00 +4.6776e+00 +4.6370e+00 +4.4719e+00 -1.0283e+00 -2.0594e+00 -3.8403e+00 +1.5989e+00 -1.2180e+00
34 +5.897862105e+00 +5.897862105e+00 +1.276786211e+01 +1.276786211e+01 +2.8656e+00 -3.4375e+00 +2.8278e+00 -1.2313e+00 -8.1625e-01 -6.7008e-01 +2.1919e+00 +1.7835e-01 +1.2408e+00 -4.8590e+00
180 +3.706067624e+00 +3.706067624e+00 +1.057606762e+01 +1.057606762e+01 +1.6317e+00 +1.7410e+00 -2.1036e+00 -2.7768e-01 +3.9105e-01 -1.7784e+00 +9.9767e-01 +6.5375e-01 +7.8461e-01 -4.0071e+00
3287 +2.255807636e+00 +2.255807636e+00 +9.125807636e+00 +9.125807636e+00 +1.6091e+00 +1.6997e+00 -3.6625e+00 -1.1510e+00 +4.2961e-01 -1.1026e+00 +1.0405e+00 +4.0594e-01 +1.0889e+00 -3.1954e+00
3538 +1.083557172e+00 +1.083557172e+00 +7.953557172e+00 +7.953557172e+00 +1.6549e+00 +1.7111e+00 -3.6531e+00 -1.1855e+00 +4.1060e-01 -1.1685e+00 +1.0102e+00 +3.7812e-01 +1.1333e+00 -3.1572e+00
3749 +9.895732438e-01 +9.895732438e-01 +7.859573244e+00 +7.859573244e+00 +1.6398e+00 +1.7335e+00 -3.6894e+00 -1.1953e+00 +3.6346e-01 -1.1757e+00 +1.0234e+00 +3.5793e-01 +1.1699e+00 -3.1530e+00
3884 +4.460344231e-01 +4.460344231e-01 +7.316034423e+00 +7.316034423e+00 +1.6365e+00 +1.7186e+00 -3.6754e+00 -1.1855e+00 +3.8080e-01 -1.1415e+00 +1.0284e+00 +3.7822e-01 +1.1397e+00 -3.1649e+00
4643 +3.550989976e-01 +3.550989976e-01 +7.225098998e+00 +7.225098998e+00 +1.6520e+00 +1.7436e+00 -3.6719e+00 -1.1928e+00 +3.7103e-01 -1.1472e+00 +1.0022e+00 +4.1029e-01 +1.1654e+00 -3.1534e+00
5074 +1.712552713e-01 +1.712552713e-01 +7.041255271e+00 +7.041255271e+00 +1.6337e+00 +1.7316e+00 -3.6700e+00 -1.1852e+00 +3.8332e-01 -1.1376e+00 +1.0201e+00 +4.0168e-01 +1.1526e+00 -3.1658e+00
5256 +1.354562383e-01 +1.354562383e-01 +7.005456238e+00 +7.005456238e+00 +1.6409e+00 +1.7287e+00 -3.6778e+00 -1.1851e+00 +3.8651e-01 -1.1295e+00 +1.0241e+00 +3.9681e-01 +1.1534e+00 -3.1611e+00
5586 +8.479175822e-02 +8.479175822e-02 +6.954791758e+00 +6.954791758e+00 +1.6383e+00 +1.7226e+00 -3.6772e+00 -1.1841e+00 +3.8615e-01 -1.1237e+00 +1.0329e+00 +3.9182e-01 +1.1458e+00 -3.1613e+00
