% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.260570856e+09 +1.260570856e+09 +1.260570235e+09 +1.260570235e+09 +2.3106e+00 -4.3288e+00 -2.7267e+00 +3.0667e+00 +3.1117e+00 -3.4727e+00 +4.9915e+00 +4.7751e+00 +4.9089e-01 -5.6610e-01
2 +2.400780992e+08 +2.400780992e+08 +2.400774781e+08 +2.400774781e+08 -2.1350e+00 -1.2542e-01 +3.9061e+00 +7.1671e-01 +1.9078e+00 -1.6622e+00 -8.0622e-01 +2.4786e+00 -3.3084e+00 -2.1698e+00
6 +5.837569980e+07 +5.837569980e+07 +5.837507869e+07 +5.837507869e+07 -4.4721e+00 +3.0396e+00 +1.6949e+00 -3.0139e+00 +2.2591e+00 -5.2871e-01 -2.2200e+00 +2.4193e+00 +4.9536e+00 +2.5450e+00
25 +2.523611715e+07 +2.523611715e+07 +2.523549604e+07 +2.523549604e+07 -1.6926e+00 +4.3967e+00 -8.7272e-02 +4.9950e-01 +2.8041e+00 +2.8011e-02 -4.7035e-01 +4.5088e-01 -9.0170e-02 -1.5609e-01
560 +2.495174301e+07 +2.495174301e+07 +2.495112190e+07 +2.495112190e+07 +1.0693e+00 +2.2165e+00 +8.4555e-01 -3.3831e+00 +8.8138e-02 +1.5190e+00 +2.2408e+00 +5.5691e-01 +2.3059e+00 -1.5155e+00
751 +1.219859617e+07 +1.219859617e+07 +1.219797506e+07 +1.219797506e+07 -4.8631e-01 +5.0000e+00 -1.4551e+00 -4.0536e+00 -3.8180e-01 +8.1144e-02 -6.8703e-01 -1.6731e+00 +1.7951e+00 -1.5681e+00
815 +9.566962848e+06 +9.566962848e+06 +9.566341738e+06 +9.566341738e+06 +1.1224e+00 +5.0000e+00 +4.5023e-01 -3.5816e+00 -7.6626e-01 -1.2896e+00 +1.0690e+00 +1.0225e+00 +1.8450e+00 -6.7168e-02
901 +3.189658313e+06 +3.189658313e+06 +3.189037203e+06 +3.189037203e+06 -1.4226e+00 +5.0000e+00 +5.7959e-01 -4.3193e+00 +1.4821e-02 -2.2790e+00 +2.0532e-01 -8.4187e-01 +1.1175e+00 -4.6338e-01
1124 +2.026431783e+06 +2.026431783e+06 +2.025810673e+06 +2.025810673e+06 -8.9118e-01 +5.0000e+00 +2.4790e-01 -3.5635e+00 -1.0866e+00 -1.9486e+00 +1.2945e+00 -3.8258e-01 +1.6339e+00 -7.9637e-01
1506 +1.309371738e+06 +1.309371738e+06 +1.308750628e+06 +1.308750628e+06 -9.2840e-01 +5.0000e+00 -4.7216e-01 -3.7371e+00 -5.4866e-02 -1.8879e+00 +1.2208e+00 -7.5011e-01 +1.1913e+00 -3.6291e-02
2312 +9.835648223e+05 +9.835648223e+05 +9.829437123e+05 +9.829437123e+05 -7.1905e-01 +5.0000e+00 +3.3729e-01 -3.9515e+00 -8.4093e-01 -2.3453e+00 +1.5368e+00 -6.7539e-01 +9.3064e-01 -1.6211e-01
